indicator,year,value,country,pull_date
NY.GDP.PCAP.CD,2024,3985.29464669706,Philippines,2026-08-02
NY.GDP.PCAP.CD,2023,3804.08274131718,Philippines,2026-08-02
NY.GDP.PCAP.CD,2022,3548.06930572116,Philippines,2026-08-02
NY.GDP.PCAP.CD,2021,3484.38593882819,Philippines,2026-08-02
NY.GDP.PCAP.CD,2020,3227.57910235199,Philippines,2026-08-02
NY.GDP.PCAP.CD,2019,3400.78949767074,Philippines,2026-08-02
NY.GDP.PCAP.CD,2018,3168.51036609727,Philippines,2026-08-02
NY.GDP.PCAP.CD,2017,3038.12124959289,Philippines,2026-08-02
NY.GDP.PCAP.CD,2016,2985.19564024046,Philippines,2026-08-02
NY.GDP.PCAP.CD,2015,2909.85818010301,Philippines,2026-08-02
NY.GDP.PCAP.CD,2014,2866.83803761407,Philippines,2026-08-02
NY.GDP.PCAP.CD,2013,2781.27957677397,Philippines,2026-08-02
NY.GDP.PCAP.CD,2012,2614.61644401308,Philippines,2026-08-02
NY.GDP.PCAP.CD,2011,2383.91892522087,Philippines,2026-08-02
NY.GDP.PCAP.CD,2010,2162.91375885614,Philippines,2026-08-02
NY.GDP.PCAP.CD,2009,1864.45043406471,Philippines,2026-08-02
NY.GDP.PCAP.CD,2008,1959.29233534978,Philippines,2026-08-02
NY.GDP.PCAP.CD,2007,1712.65543282793,Philippines,2026-08-02
NY.GDP.PCAP.CD,2006,1426.14649179546,Philippines,2026-08-02
NY.GDP.PCAP.CD,2005,1220.46018559867,Philippines,2026-08-02
NY.GDP.PCAP.CD,2004,1099.63013023758,Philippines,2026-08-02
NY.GDP.PCAP.CD,2003,1027.2301192843,Philippines,2026-08-02
NY.GDP.PCAP.CD,2002,1014.90879320106,Philippines,2026-08-02
NY.GDP.PCAP.CD,2001,969.530611744453,Philippines,2026-08-02
NY.GDP.PCAP.CD,2000,1050.79273107952,Philippines,2026-08-02
