indicator,year,value,country,pull_date
SI.DST.10TH.10,2024,,Philippines,2026-08-02
SI.DST.10TH.10,2023,31.6,Philippines,2026-08-02
SI.DST.10TH.10,2022,,Philippines,2026-08-02
SI.DST.10TH.10,2021,32.5,Philippines,2026-08-02
SI.DST.10TH.10,2020,,Philippines,2026-08-02
SI.DST.10TH.10,2019,,Philippines,2026-08-02
SI.DST.10TH.10,2018,33.5,Philippines,2026-08-02
SI.DST.10TH.10,2017,,Philippines,2026-08-02
SI.DST.10TH.10,2016,,Philippines,2026-08-02
SI.DST.10TH.10,2015,34.9,Philippines,2026-08-02
SI.DST.10TH.10,2014,,Philippines,2026-08-02
SI.DST.10TH.10,2013,,Philippines,2026-08-02
SI.DST.10TH.10,2012,36.3,Philippines,2026-08-02
SI.DST.10TH.10,2011,,Philippines,2026-08-02
SI.DST.10TH.10,2010,,Philippines,2026-08-02
SI.DST.10TH.10,2009,36.3,Philippines,2026-08-02
SI.DST.10TH.10,2008,,Philippines,2026-08-02
SI.DST.10TH.10,2007,,Philippines,2026-08-02
SI.DST.10TH.10,2006,36.6,Philippines,2026-08-02
SI.DST.10TH.10,2005,,Philippines,2026-08-02
SI.DST.10TH.10,2004,,Philippines,2026-08-02
SI.DST.10TH.10,2003,36.6,Philippines,2026-08-02
SI.DST.10TH.10,2002,,Philippines,2026-08-02
SI.DST.10TH.10,2001,,Philippines,2026-08-02
SI.DST.10TH.10,2000,37.7,Philippines,2026-08-02
