indicator_code,indicator_name,country,country_code,year,value,unit,obs_status,source,pull_date,description
SI.DST.FRST.20,Income share held by lowest 20%,Philippines,PHL,2024,,,,World Bank API / PSA Philippines,2026-08-02,Income share held by lowest 20 percent Philippines
SI.DST.FRST.20,Income share held by lowest 20%,Philippines,PHL,2023,6.9,,,World Bank API / PSA Philippines,2026-08-02,Income share held by lowest 20 percent Philippines
SI.DST.FRST.20,Income share held by lowest 20%,Philippines,PHL,2022,,,,World Bank API / PSA Philippines,2026-08-02,Income share held by lowest 20 percent Philippines
SI.DST.FRST.20,Income share held by lowest 20%,Philippines,PHL,2021,6.5,,,World Bank API / PSA Philippines,2026-08-02,Income share held by lowest 20 percent Philippines
SI.DST.FRST.20,Income share held by lowest 20%,Philippines,PHL,2020,,,,World Bank API / PSA Philippines,2026-08-02,Income share held by lowest 20 percent Philippines
SI.DST.FRST.20,Income share held by lowest 20%,Philippines,PHL,2019,,,,World Bank API / PSA Philippines,2026-08-02,Income share held by lowest 20 percent Philippines
SI.DST.FRST.20,Income share held by lowest 20%,Philippines,PHL,2018,6.2,,,World Bank API / PSA Philippines,2026-08-02,Income share held by lowest 20 percent Philippines
SI.DST.FRST.20,Income share held by lowest 20%,Philippines,PHL,2017,,,,World Bank API / PSA Philippines,2026-08-02,Income share held by lowest 20 percent Philippines
SI.DST.FRST.20,Income share held by lowest 20%,Philippines,PHL,2016,,,,World Bank API / PSA Philippines,2026-08-02,Income share held by lowest 20 percent Philippines
SI.DST.FRST.20,Income share held by lowest 20%,Philippines,PHL,2015,5.6,,,World Bank API / PSA Philippines,2026-08-02,Income share held by lowest 20 percent Philippines
SI.DST.FRST.20,Income share held by lowest 20%,Philippines,PHL,2014,,,,World Bank API / PSA Philippines,2026-08-02,Income share held by lowest 20 percent Philippines
SI.DST.FRST.20,Income share held by lowest 20%,Philippines,PHL,2013,,,,World Bank API / PSA Philippines,2026-08-02,Income share held by lowest 20 percent Philippines
SI.DST.FRST.20,Income share held by lowest 20%,Philippines,PHL,2012,5.2,,,World Bank API / PSA Philippines,2026-08-02,Income share held by lowest 20 percent Philippines
SI.DST.FRST.20,Income share held by lowest 20%,Philippines,PHL,2011,,,,World Bank API / PSA Philippines,2026-08-02,Income share held by lowest 20 percent Philippines
SI.DST.FRST.20,Income share held by lowest 20%,Philippines,PHL,2010,,,,World Bank API / PSA Philippines,2026-08-02,Income share held by lowest 20 percent Philippines
SI.DST.FRST.20,Income share held by lowest 20%,Philippines,PHL,2009,5.3,,,World Bank API / PSA Philippines,2026-08-02,Income share held by lowest 20 percent Philippines
SI.DST.FRST.20,Income share held by lowest 20%,Philippines,PHL,2008,,,,World Bank API / PSA Philippines,2026-08-02,Income share held by lowest 20 percent Philippines
SI.DST.FRST.20,Income share held by lowest 20%,Philippines,PHL,2007,,,,World Bank API / PSA Philippines,2026-08-02,Income share held by lowest 20 percent Philippines
SI.DST.FRST.20,Income share held by lowest 20%,Philippines,PHL,2006,5.0,,,World Bank API / PSA Philippines,2026-08-02,Income share held by lowest 20 percent Philippines
SI.DST.FRST.20,Income share held by lowest 20%,Philippines,PHL,2005,,,,World Bank API / PSA Philippines,2026-08-02,Income share held by lowest 20 percent Philippines
SI.DST.FRST.20,Income share held by lowest 20%,Philippines,PHL,2004,,,,World Bank API / PSA Philippines,2026-08-02,Income share held by lowest 20 percent Philippines
SI.DST.FRST.20,Income share held by lowest 20%,Philippines,PHL,2003,5.2,,,World Bank API / PSA Philippines,2026-08-02,Income share held by lowest 20 percent Philippines
SI.DST.FRST.20,Income share held by lowest 20%,Philippines,PHL,2002,,,,World Bank API / PSA Philippines,2026-08-02,Income share held by lowest 20 percent Philippines
SI.DST.FRST.20,Income share held by lowest 20%,Philippines,PHL,2001,,,,World Bank API / PSA Philippines,2026-08-02,Income share held by lowest 20 percent Philippines
SI.DST.FRST.20,Income share held by lowest 20%,Philippines,PHL,2000,5.1,,,World Bank API / PSA Philippines,2026-08-02,Income share held by lowest 20 percent Philippines
