indicator,year,value,country,pull_date
SP.POP.TOTL,2024,115843670,Philippines,2026-08-02
SP.POP.TOTL,2023,114891199,Philippines,2026-08-02
SP.POP.TOTL,2022,113964338,Philippines,2026-08-02
SP.POP.TOTL,2021,113100950,Philippines,2026-08-02
SP.POP.TOTL,2020,112081264,Philippines,2026-08-02
SP.POP.TOTL,2019,110804683,Philippines,2026-08-02
SP.POP.TOTL,2018,109465287,Philippines,2026-08-02
SP.POP.TOTL,2017,108119693,Philippines,2026-08-02
SP.POP.TOTL,2016,106735719,Philippines,2026-08-02
SP.POP.TOTL,2015,105312992,Philippines,2026-08-02
SP.POP.TOTL,2014,103767130,Philippines,2026-08-02
SP.POP.TOTL,2013,102076336,Philippines,2026-08-02
SP.POP.TOTL,2012,100175512,Philippines,2026-08-02
SP.POP.TOTL,2011,98248614,Philippines,2026-08-02
SP.POP.TOTL,2010,96337125,Philippines,2026-08-02
SP.POP.TOTL,2009,94384250,Philippines,2026-08-02
SP.POP.TOTL,2008,92699095,Philippines,2026-08-02
SP.POP.TOTL,2007,91075184,Philippines,2026-08-02
SP.POP.TOTL,2006,89508986,Philippines,2026-08-02
SP.POP.TOTL,2005,88015962,Philippines,2026-08-02
SP.POP.TOTL,2004,86394504,Philippines,2026-08-02
SP.POP.TOTL,2003,84731835,Philippines,2026-08-02
SP.POP.TOTL,2002,83068889,Philippines,2026-08-02
SP.POP.TOTL,2001,81401488,Philippines,2026-08-02
SP.POP.TOTL,2000,79625397,Philippines,2026-08-02
