indicator,year,value,country,pull_date
SI.POV.GAPS,2024,,Philippines,2026-08-02
SI.POV.GAPS,2023,1.0,Philippines,2026-08-02
SI.POV.GAPS,2022,,Philippines,2026-08-02
SI.POV.GAPS,2021,1.6,Philippines,2026-08-02
SI.POV.GAPS,2020,,Philippines,2026-08-02
SI.POV.GAPS,2019,,Philippines,2026-08-02
SI.POV.GAPS,2018,1.6,Philippines,2026-08-02
SI.POV.GAPS,2017,,Philippines,2026-08-02
SI.POV.GAPS,2016,,Philippines,2026-08-02
SI.POV.GAPS,2015,3.4,Philippines,2026-08-02
SI.POV.GAPS,2014,,Philippines,2026-08-02
SI.POV.GAPS,2013,,Philippines,2026-08-02
SI.POV.GAPS,2012,5.6,Philippines,2026-08-02
SI.POV.GAPS,2011,,Philippines,2026-08-02
SI.POV.GAPS,2010,,Philippines,2026-08-02
SI.POV.GAPS,2009,5.7,Philippines,2026-08-02
SI.POV.GAPS,2008,,Philippines,2026-08-02
SI.POV.GAPS,2007,,Philippines,2026-08-02
SI.POV.GAPS,2006,7.5,Philippines,2026-08-02
SI.POV.GAPS,2005,,Philippines,2026-08-02
SI.POV.GAPS,2004,,Philippines,2026-08-02
SI.POV.GAPS,2003,6.9,Philippines,2026-08-02
SI.POV.GAPS,2002,,Philippines,2026-08-02
SI.POV.GAPS,2001,,Philippines,2026-08-02
SI.POV.GAPS,2000,7.1,Philippines,2026-08-02
