indicator,year,value,country,pull_date
SI.POV.DDAY,2024,,Philippines,2026-08-02
SI.POV.DDAY,2023,5.3,Philippines,2026-08-02
SI.POV.DDAY,2022,,Philippines,2026-08-02
SI.POV.DDAY,2021,8.1,Philippines,2026-08-02
SI.POV.DDAY,2020,,Philippines,2026-08-02
SI.POV.DDAY,2019,,Philippines,2026-08-02
SI.POV.DDAY,2018,8.3,Philippines,2026-08-02
SI.POV.DDAY,2017,,Philippines,2026-08-02
SI.POV.DDAY,2016,,Philippines,2026-08-02
SI.POV.DDAY,2015,14.6,Philippines,2026-08-02
SI.POV.DDAY,2014,,Philippines,2026-08-02
SI.POV.DDAY,2013,,Philippines,2026-08-02
SI.POV.DDAY,2012,21.3,Philippines,2026-08-02
SI.POV.DDAY,2011,,Philippines,2026-08-02
SI.POV.DDAY,2010,,Philippines,2026-08-02
SI.POV.DDAY,2009,22.0,Philippines,2026-08-02
SI.POV.DDAY,2008,,Philippines,2026-08-02
SI.POV.DDAY,2007,,Philippines,2026-08-02
SI.POV.DDAY,2006,26.1,Philippines,2026-08-02
SI.POV.DDAY,2005,,Philippines,2026-08-02
SI.POV.DDAY,2004,,Philippines,2026-08-02
SI.POV.DDAY,2003,24.3,Philippines,2026-08-02
SI.POV.DDAY,2002,,Philippines,2026-08-02
SI.POV.DDAY,2001,,Philippines,2026-08-02
SI.POV.DDAY,2000,25.9,Philippines,2026-08-02
