indicator,year,value,country,pull_date
SI.POV.NAHC,2024,,Philippines,2026-08-02
SI.POV.NAHC,2023,15.5,Philippines,2026-08-02
SI.POV.NAHC,2022,,Philippines,2026-08-02
SI.POV.NAHC,2021,18.1,Philippines,2026-08-02
SI.POV.NAHC,2020,,Philippines,2026-08-02
SI.POV.NAHC,2019,,Philippines,2026-08-02
SI.POV.NAHC,2018,16.7,Philippines,2026-08-02
SI.POV.NAHC,2017,,Philippines,2026-08-02
SI.POV.NAHC,2016,,Philippines,2026-08-02
SI.POV.NAHC,2015,23.5,Philippines,2026-08-02
SI.POV.NAHC,2014,,Philippines,2026-08-02
SI.POV.NAHC,2013,,Philippines,2026-08-02
SI.POV.NAHC,2012,,Philippines,2026-08-02
SI.POV.NAHC,2011,,Philippines,2026-08-02
SI.POV.NAHC,2010,,Philippines,2026-08-02
SI.POV.NAHC,2009,,Philippines,2026-08-02
SI.POV.NAHC,2008,,Philippines,2026-08-02
SI.POV.NAHC,2007,,Philippines,2026-08-02
SI.POV.NAHC,2006,,Philippines,2026-08-02
SI.POV.NAHC,2005,,Philippines,2026-08-02
SI.POV.NAHC,2004,,Philippines,2026-08-02
SI.POV.NAHC,2003,,Philippines,2026-08-02
SI.POV.NAHC,2002,,Philippines,2026-08-02
SI.POV.NAHC,2001,,Philippines,2026-08-02
SI.POV.NAHC,2000,,Philippines,2026-08-02
